code_commune;nb_menages_fiscaux;nb_personnes;revenu_median_declare
02793;46;119;22950
02794;79;198;25170
02795;734;1591;20470
02796;NULL;NULL;NULL
02797;64;173;17240
02798;460;1181;20350
02799;153;379;20250
02800;124;335;21570
02801;114;265;18000
02802;67;173;17810
02803;58;136;22410
02804;80;198;22630
02805;1108;2536;18820
02806;112;273;18620
02807;264;647;24560
02808;117;271;18620
02809;NULL;NULL;NULL
02810;4465;10245;18840
02812;86;219;24410
02813;95;258;20900
02814;68;167;20240
02815;188;435;22670
02816;189;498;21020
02817;NULL;NULL;NULL
02818;376;896;23050
02819;46;102;16590
02820;743;1723;22660
02821;285;686;23040
02822;163;432;24620
02823;NULL;NULL;NULL
02824;167;380;26570
02826;147;363;20170
02827;117;307;19110
02828;NULL;NULL;NULL
02829;NULL;NULL;NULL
02830;379;899;17940
02831;147;347;19110
02832;83;178;18550
02833;182;481;18020
02834;65;153;22020
03001;1304;2954;22050
03002;131;292;19740
03003;480;925;19660
03004;99;226;16400
03005;138;308;15350
03006;332;602;15220
03007;153;370;22100
03008;168;374;20000
03009;56;124;18740
03010;188;417;18540
03011;151;393;20250
03012;142;313;21830
03013;1856;3925;22330
03014;74;150;19730
03015;128;329;20270
03016;60;132;20190
03017;84;189;17970
